iter	Passed	Remaining
800	1262	313
801	1264	312
802	1265	310
803	1266	308
804	1268	307
805	1269	305
806	1271	304
807	1272	302
808	1274	300
809	1275	299
810	1276	297
811	1278	295
812	1279	294
813	1281	292
814	1282	291
815	1284	289
816	1285	288
817	1287	286
818	1288	284
819	1289	283
820	1291	281
821	1292	279
822	1294	278
823	1295	276
824	1297	275
825	1299	273
826	1300	272
827	1302	270
828	1303	268
829	1305	267
830	1306	265
831	1308	264
832	1310	262
833	1311	261
834	1313	259
835	1314	257
836	1316	256
837	1317	254
838	1318	253
839	1320	251
840	1321	249
841	1323	248
842	1325	246
843	1327	245
844	1328	243
845	1330	242
846	1331	240
847	1332	238
848	1334	237
849	1335	235
850	1336	234
851	1338	232
852	1340	230
853	1341	229
854	1343	227
855	1344	226
856	1345	224
857	1347	222
858	1348	221
859	1349	219
860	1351	218
861	1353	216
862	1354	215
863	1356	213
864	1357	211
865	1358	210
866	1360	208
867	1361	207
868	1362	205
869	1364	203
870	1365	202
871	1367	200
872	1369	199
873	1371	197
874	1372	196
875	1374	194
876	1375	192
877	1376	191
878	1378	189
879	1379	188
880	1380	186
881	1383	185
882	1384	183
883	1386	181
884	1387	180
885	1388	178
886	1390	177
887	1391	175
888	1393	173
889	1394	172
890	1396	170
891	1397	169
892	1399	167
893	1400	166
894	1401	164
895	1403	162
896	1404	161
897	1405	159
898	1407	158
899	1408	156
900	1409	154
901	1411	153
902	1413	151
903	1415	150
904	1416	148
905	1417	147
906	1419	145
907	1420	143
908	1421	142
909	1423	140
910	1424	139
911	1426	137
912	1428	136
913	1429	134
914	1430	132
915	1432	131
916	1433	129
917	1435	128
918	1436	126
919	1437	125
920	1439	123
921	1440	121
922	1442	120
923	1443	118
924	1445	117
925	1446	115
926	1447	114
927	1449	112
928	1450	110
929	1452	109
930	1453	107
931	1455	106
932	1457	104
933	1458	103
934	1460	101
935	1461	99
936	1463	98
937	1465	96
938	1467	95
939	1468	93
940	1470	92
941	1472	90
942	1473	89
943	1475	87
944	1476	85
945	1478	84
946	1480	82
947	1482	81
948	1484	79
949	1485	78
950	1487	76
951	1488	75
952	1490	73
953	1492	71
954	1493	70
955	1495	68
956	1497	67
957	1498	65
958	1500	64
959	1502	62
960	1503	61
961	1505	59
962	1507	57
963	1508	56
964	1510	54
965	1511	53
966	1513	51
967	1515	50
968	1516	48
969	1518	46
970	1520	45
971	1522	43
972	1524	42
973	1525	40
974	1527	39
975	1529	37
976	1530	36
977	1532	34
978	1533	32
979	1535	31
980	1537	29
981	1538	28
982	1540	26
983	1542	25
984	1544	23
985	1546	21
986	1548	20
987	1550	18
988	1551	17
989	1553	15
990	1554	14
991	1556	12
992	1558	10
993	1559	9
994	1561	7
995	1563	6
996	1565	4
997	1566	3
998	1568	1
999	1569	0
